MMETSP1165 	Chrfra
MMETSP1166 	Chrsp
MMETSP1167 	Malsp
MMETSP1169 	Pyrobo
MMETSP1170 	Sarsp
MMETSP1171 	Heltam
MMETSP1172 	Timoli
MMETSP1173 	Rhimar
MMETSP1174 	Dicspe
MMETSP1175 	Tridub
MMETSP1176 	Synrec
MMETSP1177 	Ochsp
MMETSP1178 	CCMP2000
MMETSP1180 	Chlcf 
MMETSP1309 	RCC0998
MMETSP1310 	RCC2339
MMETSP1311 	RCC0856
MMETSP1312 	RCC2335
MMETSP1315 	Prasin
MMETSP1316 	Pycpro
MMETSP1317 	Undescribed
MMETSP1318 	Parglo
MMETSP1319 	Bolpac
MMETSP1320 	Bolsp
MMETSP1321 	Bolsp
MMETSP1322 	Minpol
MMETSP1323 	Flopar
MMETSP1324 	Flosp
MMETSP1326 	RCC2288
MMETSP1327 	Micpus
MMETSP1328 	Pelcal
MMETSP1329 	RCC1024
MMETSP1330 	Picsp
MMETSP1333 	Scyaps
MMETSP1334 	Callep
MMETSP1335 	Chrrho
MMETSP1336 	Chacf.
MMETSP1338 	Pelbei
MMETSP1339 	Fibjap
MMETSP1344 	Flopar
MMETSP1352 	Stacon
MMETSP1353 	Eryaus
MMETSP1354 	Erymad
MMETSP1355 	Hemtep
MMETSP1356 	Hemvir
MMETSP1357 	Hemruf
MMETSP1358 	Bignat
MMETSP1359 	Biglon
MMETSP1362 	Lepdan
MMETSP1363 	Gepoce
MMETSP1364 	Gepoce
MMETSP1365 	Gepoce
MMETSP1366 	Gepoce
MMETSP1370 	Symsp
MMETSP1371 	Symsp
MMETSP1374 	Symsp
MMETSP1377 	Symsp
MMETSP1380 	Eupcra
MMETSP1381 	Pavsp
MMETSP1384 	Ammsp
MMETSP1386 	Micsp
MMETSP1387 	Micsp
MMETSP1390 	Micsp
MMETSP1394 	Astgla
MMETSP1399 	Batpra
MMETSP1423 	Psehei
MMETSP1428 	Skemar
MMETSP1429 	Chasp
MMETSP1432 	Psedel
MMETSP1434 	Minpol
MMETSP1435 	Chabre
MMETSP1436 	Aleand
MMETSP1437 	Eucant
MMETSP1438 	Ptesp
MMETSP1439 	Gonspi
MMETSP1440 	Polgla
MMETSP1441 	Hetarc
MMETSP1442 	Craaus
MMETSP1443 	Entsp
MMETSP1444 	Phaant
MMETSP1445 	Pyrsp
MMETSP1446 	CCMP2111
MMETSP1447 	Chadic
MMETSP1449 	Attsep
MMETSP1450 	Madery
MMETSP1451 	Vitbra
MMETSP1452 	Synpus
MMETSP1453 	RCC0701
MMETSP1456 	RCC1871
MMETSP1460 	Batpra
MMETSP1462 	Branut
MMETSP1465 	Phacor
MMETSP1467 	CCMP2135
MMETSP1468 	Mansp
MMETSP1471 	Pycpro
MMETSP1475 	CCMP1999
