gID	S1	S2	S3	S4	S5
K00461	0.674602	7.219559	0.696656	0.479253	0.446303
K00463	0.011243	0.014855	0.035423	0.000000	0.000000
K00469	24.184489	5.095285	26.295810	7.002421	34.343020
K04744	0.011243	0.000000	0.000000	0.026625	0.000000
K01519	17.910689	11.794917	8.525179	10.170817	10.599698
K01517	6.285044	6.952168	5.939287	5.644537	5.444897
K01514	8.466258	32.532579	11.004802	8.147304	11.536934
K01515	3.699069	12.894191	2.845662	4.419779	4.574606
K01512	0.505952	2.094563	0.980041	0.905256	0.490933
K01513	0.022487	0.029710	0.106270	0.026625	0.022315
K01510	0.820766	5.258691	0.696656	0.852006	0.602509
K14620	0.000000	0.000000	0.000000	0.079876	0.044630
K05326	0.011243	0.044565	0.011808	0.000000	0.000000
K05646	1.933860	2.718476	28.846279	9.638314	108.473958
K16914	23.813458	3.802895	19.163942	5.644537	11.358413
K16912	8.072740	4.337677	7.415253	4.925658	4.797758
K16911	206.574439	40.747427	134.560865	62.036660	58.264864
K03911	0.888226	2.064853	0.873772	0.239627	1.405855
K12376	0.966930	0.980434	0.696656	1.144883	0.981867
K12374	0.089947	0.044565	0.059039	0.000000	0.066945
K12375	0.067460	0.074275	0.413270	0.266252	0.223152
K12373	8.814802	65.837622	5.821210	5.937414	5.311006
K02359	0.326058	0.282246	0.330616	0.399378	0.290097
K02358	106.767043	33.899245	44.574172	31.391083	61.188149
K02350	8.533718	8.348543	11.063841	8.653182	10.845164
K02355	527.381519	125.540104	642.045193	1244.513982	761.236812
K02357	151.841713	21.539836	68.768206	142.364817	53.801834
K02356	31.762521	18.999621	26.685465	59.959897	23.810268
