gID	S1	S2	S3	S4	S5
K08230	1.529098	1.396376	4.038243	20.820888	2.900970
K08231	0.022487	0.000000	0.047231	0.000000	0.066945
K08232	5.880283	5.451807	6.848482	5.218535	5.824255
K08234	0.236111	0.133696	0.177116	0.106501	0.156206
K08235	1.405421	2.257969	3.412433	1.597511	2.588558
K08237	0.000000	0.000000	0.023615	0.000000	0.000000
K00258	0.011243	0.074275	0.141693	0.026625	0.223152
K00259	0.449735	0.371376	0.578579	0.612379	0.535564
K14141	3.361768	3.639489	7.639600	2.955395	4.753128
K00252	9.242050	23.827514	17.203859	12.513833	18.276110
K00253	9.365727	56.404658	18.290170	20.128633	26.398826
K00257	2.012563	1.663767	2.385161	1.943638	1.740582
K00254	14.425244	26.323164	26.709080	15.442602	23.676377
K00255	2.023807	1.530071	2.337930	1.597511	2.298461
K01079	34.550876	23.574978	35.375952	18.664248	40.948306
K01078	8.230147	26.100338	7.686831	6.390042	9.260788
K04551	7.173270	8.437673	9.658721	9.132435	10.287286
K04550	0.460978	0.282246	0.791118	0.292877	0.870291
K01072	0.517195	0.460507	0.531348	4.499655	0.357042
K04555	0.112434	0.148551	0.106270	0.106501	0.133891
K01074	8.275120	11.408685	21.926950	13.632090	22.404414
K01077	0.416005	0.430797	0.944618	0.426003	0.781030
K04556	0.191137	0.207971	0.318809	0.159751	0.513249
K02929	656.803952	243.934921	503.658624	333.986209	408.121832
K01063	0.022487	0.044565	0.141693	0.000000	0.044630
K11485	0.056217	0.059420	0.094462	0.026625	0.000000
K05825	0.044973	0.133696	0.141693	0.133126	0.200836
K11487	0.022487	0.029710	0.023615	0.026625	0.000000
K12815	11.884242	16.474260	16.542626	16.001731	18.119904
K01787	0.044973	0.044565	0.165308	0.053250	0.089261
K01785	6.880943	4.471373	7.828523	6.203666	5.556473
K01784	36.765820	40.673151	28.397585	29.287694	40.836730
K01783	192.048005	211.937124	240.157373	759.536399	121.082020
K01782	0.550925	0.371376	0.425078	0.452628	0.870291
K01780	0.033730	0.430797	0.047231	0.000000	0.044630
K05206	0.067460	0.014855	0.082654	0.053250	0.000000
K05207	0.044973	0.029710	0.023615	0.053250	0.089261
K05204	0.044973	0.000000	0.011808	0.026625	0.044630
K02257	16.437807	14.171726	18.030400	12.433957	13.277516
K05202	0.056217	0.074275	0.200731	0.079876	0.089261
K02523	0.112434	0.817028	0.637617	0.266252	0.312412
K02520	85.112312	20.707952	24.855267	27.210930	19.168716
K05201	0.022487	0.014855	0.023615	0.000000	0.000000
K02258	7.791655	9.477528	10.839494	12.274206	13.835395
K02259	8.859776	8.452528	11.252764	10.090942	12.764267
K05208	0.067460	0.118840	0.247962	0.213001	0.357042
K05209	0.033730	0.059420	0.059039	0.133126	0.200836
K03781	0.663359	0.891304	1.310658	2.050139	2.789394
K03783	3.699069	67.263706	7.710446	6.922546	8.033455
K03782	13.076039	31.685840	21.537295	14.297720	19.324922
K03785	0.022487	0.074275	0.047231	0.133126	0.044630
K03784	0.292328	0.059420	0.106270	0.026625	0.022315
K03787	0.134920	0.044565	0.295193	0.159751	0.379358
K03786	0.269841	0.267391	0.649425	0.239627	0.513249
K03789	0.157407	0.371376	1.334273	1.304634	1.316594
K10358	4.812162	8.942745	15.810547	7.162172	22.181262
K13128	0.202381	0.252536	0.295193	0.106501	0.223152
K09415	20.013199	92.814408	87.306339	49.070200	54.114246
K13120	12.142840	14.439117	5.136362	3.727525	3.436534
K13121	2.496028	5.942024	4.522360	3.514523	3.191067
K13430	0.224867	0.133696	0.531348	0.532504	0.267782
K13431	10.771149	38.845979	14.594351	14.137969	17.941383
K13124	2.349864	2.228259	3.837511	1.890388	2.566243
K13125	12.660035	28.343452	13.838657	8.919434	9.327734
K13126	493.853789	176.418679	359.332769	172.078513	285.187654
K13127	8.050253	14.290567	10.792263	10.916322	13.121310
K17731	0.078704	0.074275	0.059039	0.026625	0.156206
K17730	0.258598	0.386232	0.661233	0.532504	1.071127
K17732	104.405935	156.602030	120.486053	176.658044	171.313429
K17734	4.058857	2.005433	78.533197	30.752078	70.292732
K03125	21.935815	72.581817	15.479931	21.566393	24.725189
K03124	0.528438	0.876448	2.349738	0.852006	2.119940
K03127	0.179894	0.193116	0.318809	0.159751	0.267782
K03126	2.968250	5.347821	6.246288	4.606155	6.895382
K03120	8.207660	14.498537	8.170948	7.774551	9.416995
K08838	0.663359	1.500361	1.912852	1.304634	2.052994
K03122	0.011243	0.000000	0.047231	0.000000	0.133891
K08834	0.134920	0.044565	0.118077	0.159751	0.066945
K08835	8.837289	37.286198	15.302815	22.391773	26.979020
K08832	31.863711	110.506783	37.855575	35.358234	42.800463
K08833	0.033730	0.059420	0.047231	0.026625	0.022315
K08830	7.341921	7.590935	16.837820	9.372062	16.557843
K12524	72.530981	42.782569	37.253381	29.048067	41.104512
K09788	0.787036	0.713043	1.440543	0.878631	1.428170
K09786	0.033730	0.000000	0.035423	0.026625	0.022315
K06571	0.056217	0.044565	0.247962	0.106501	0.156206
K09781	0.044973	0.059420	0.070846	0.000000	0.022315
K12528	0.123677	0.148551	0.118077	0.106501	0.223152
K16066	0.067460	0.074275	0.094462	0.133126	0.133891
K16064	0.089947	0.118840	0.047231	0.053250	0.111576
