,nCpds,nGenes,Km0_cpd,Km0_gene,Km1_cpd,Km1_gene,Km2_cpd,Km2_gene,Km3_cpd,Km3_gene,Km4_cpd,Km4_gene,Km5_cpd,Km5_gene
ko00960,68,26,2,3,0,0,1,3,0,0,4,6,0,1
ko00965,24,7,0,0,0,0,0,0,1,0,0,3,0,0
ko00966,75,15,4,0,0,0,2,0,1,0,2,0,0,0
ko00970,52,63,4,4,0,0,0,1,1,0,2,21,0,0
ko00980,121,34,0,2,0,1,0,4,3,3,3,7,0,0
ko00981,25,16,0,0,0,0,0,0,4,1,4,1,2,0
ko00982,100,24,3,0,3,0,0,4,0,0,5,6,0,0
ko00983,49,22,0,1,0,0,1,2,0,0,0,10,0,1
ko00984,17,15,0,0,0,0,0,0,0,0,4,1,0,0
ko01040,54,27,1,0,0,0,0,1,1,1,1,0,1,0
ko01051,32,32,0,0,0,0,0,0,0,0,0,0,0,0
ko01052,21,111,0,0,0,0,0,0,0,0,0,0,0,0
ko01053,13,30,1,0,0,0,0,0,0,0,0,0,0,0
ko01054,14,54,0,0,0,0,0,0,0,0,0,0,0,0
ko01055,19,29,1,0,0,0,0,0,2,0,0,0,0,0
ko01056,24,9,0,0,0,0,0,0,0,0,0,0,0,0
ko01057,139,70,2,0,0,0,0,0,0,0,0,0,0,0
ko01058,7,2,0,0,0,0,0,0,0,0,0,0,0,0
ko01100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko01110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko01120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko01130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko01200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko01210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko01212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko01220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko01230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko01501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko01502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko01503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ko02010,128,459,8,0,0,0,0,0,3,0,3,0,0,0
ko02020,48,455,2,0,0,1,0,1,0,0,1,4,1,0
