RI871,C17663
RI872,C17663
RI873,C17665
RI874,C17665
RI875,C17666
RI876,C17666
RI877,C17672
RI878,C17676
RI879,C17782
RI880,C17782
RI881,C17883
RI882,C17900
RI883,C17902
RI884,C17914
RI885,C17935
RI886,C17954
RI887,C18001
RI888,C18021
RI889,C18045
RI890,C18045
RI891,C18064
RI892,C18075
RI893,C18075
RI894,C18090
RI895,C18090
RI896,C18090
RI897,C18245
RI898,C18271
RI899,C18272
RI900,C18277
RI901,C00019
RI902,C00020
RI903,C00026
RI904,C00031
RI905,C00042
RI906,C00043
RI907,C00061
RI908,C00095
RI909,C00124
RI910,C00127
RI911,C00137
RI912,C00156
RI913,C00158
RI914,C00159
RI915,C00180
RI916,C00203
RI917,C00221
RI918,C00233
RI919,C00247
RI920,C00267
RI921,C00280
RI922,C00296
RI923,C00311
RI924,C00362
RI925,C00385
RI926,C00417
RI927,C00451
RI928,C00478
RI929,C00478
RI930,C00489
RI931,C00539
RI932,C00587
RI933,C00590
RI934,C00633
RI935,C00639
RI936,C00639
RI937,C00639
RI938,C00670
RI939,C00671
RI940,C00679
RI941,C00737
RI942,C00738
RI943,C00764
RI944,C00795
RI945,C00805
RI946,C00848
RI947,C00870
RI948,C00900
RI949,C00902
RI950,C00922
RI951,C00936
RI952,C00946
RI953,C00962
RI954,C00984
RI955,C01012
RI956,C01020
RI957,C01088
RI958,C01088
RI959,C01108
RI960,C01163
RI961,C01170
RI962,C01212
RI963,C01278
RI964,C01292
RI965,C01295
RI966,C01337
RI967,C01337
RI968,C01367
RI969,C01383
RI970,C01451
RI971,C01452
RI972,C01458
RI973,C01487
RI974,C01582
RI975,C01606
RI976,C01618
RI977,C01624
RI978,C01662
RI979,C01680
RI980,C01705
RI981,C01719
RI982,C01720
RI983,C01757
RI984,C01825
RI985,C01844
RI986,C01853
RI987,C01906
RI988,C01934
RI989,C01988
RI990,C01989
RI991,C01989
RI992,C02008
RI993,C02108
RI994,C02122
RI995,C02123
RI996,C02123
RI997,C02129
RI998,C02167
RI999,C02170
RI1000,C02183
RI1001,C02195
RI1002,C02206
RI1003,C02209
RI1004,C02236
RI1005,C02283
RI1006,C02295
RI1007,C02314
RI1008,C02314
RI1009,C02314
RI1010,C02336
RI1011,C02341
RI1012,C02360
RI1013,C02360
RI1014,C02362
RI1015,C02488
RI1016,C02488
RI1017,C02504
RI1018,C02504
RI1019,C02514
RI1020,C02527
RI1021,C02578
RI1022,C02666
RI1023,C02674
RI1024,C02704
RI1025,C02752
RI1026,C02774
RI1027,C02780
RI1028,C02782
RI1029,C02814
RI1030,C02821
RI1031,C02930
RI1032,C02991
RI1033,C02991
RI1034,C03067
RI1035,C03097
RI1036,C03241
RI1037,C03328
RI1038,C03328
RI1039,C03404
RI1040,C03448
RI1041,C03465
RI1042,C03467
RI1043,C03500
RI1044,C03502
RI1045,C03577
RI1046,C03589
RI1047,C03590
RI1048,C03600
RI1049,C03652
RI1050,C03652
RI1051,C03666
RI1052,C03716
RI1053,C03725
RI1054,C03754
RI1055,C03761
RI1056,C03761
RI1057,C03779
RI1058,C03797
RI1059,C03827
RI1060,C03827
RI1061,C03864
RI1062,C03865
RI1063,C03894
RI1064,C03921
RI1065,C03930
RI1066,C03946
RI1067,C03958
RI1068,C03962
RI1069,C03979
