cNumber,S1,S2,S3,S4,S5
C14490,0.000498208708449705,0.00250253070306672,0.000482271178330593,0.000270302293070866,0.000380282147344827
C14489,0.00457665370124704,0.0227318691296979,0.00309450059110161,0.00277230768658364,0.00256841091310218
C14487,0.000244206321860978,0.00102171957752403,7.43072482977565e-05,2.64264171453733e-05,0.00103128802184302
C14483,0.000169261002295064,0.000671617604897767,0,0,1.54228061462534e-05
C14478,1.99544256299929e-05,0.000604865121908329,2.03930168728216e-05,0.000143654265848252,0.00110313835130348
C14475,0.000819507824364461,0.00151487369881047,0.000198391076757335,8.25062120905272e-05,0.000214259253617224
C14463,0.000774634932670814,0.00133534480093843,0.000929999187139376,0.000752908318910431,0.00135511497265713
C14446,0.0249082049411009,0.0123784018926733,0.0058917190613131,0.0018198404949977,0.00271409536740591
C14418,0.000757556229862155,0.00083372882480405,0.000838610715808715,0.00105134312264799,0.00157700850491174
C14393,0.000609539808890776,0.00080506344707328,0.00102005968272969,0.000473773760061748,0.000389806842769276
C14382,0.00199345161826421,0.00439745842167841,0.000123203352331418,0.000427228125789418,0.000375665813552137
C14349,0.00780190245495164,0.00932505179820249,0.00965270493480569,0.00841218613091549,0.00528770730086267
C14348,0.00301038701713051,0.00535242364818928,0.0026233101876825,0.00160658059968341,0.00165653787529841
C14341,0.00780190245495164,0.00932505179820249,0.00965270493480569,0.00841218613091549,0.00528770730086267
C14334,0,0.000821753032523232,1.19148705652549e-05,0,0
C14308,0,0.0169954528338601,9.34305205248196e-06,0,0
C14305,3.34329895542943e-05,0.000489057509060922,0,0,3.37540246633011e-05
C14300,0.000473592573609829,0.00319049946256413,0.00215551555895505,0.00227408973339803,0.00218809011273406
C14297,0.0172735408076313,0.0169296055716811,0.0239772601552974,0.0202723361682153,0.0121526848382787
C14290,0.00027943627259041,0.000124256041565094,0.000179528585196076,0.000161265643064264,0.00024475969300685
C14289,0.00010761684863383,0.00050595053839508,5.74453762801239e-05,0.000178769203740787,0.000175185371237079
C14285,0.000609539808890776,0.00080506344707328,0.00102005968272969,0.000473773760061748,0.000389806842769276
C14280,0.00310243508840164,0.00240325855364465,0.00224664211555709,0.00136230941537141,0.00176009274608558
C14274,0.00230598646360794,0.00622199462688074,0.000942631008481295,0.000652362405870719,0.00263982223013077
C14273,0.00159366840707133,0.00236207490903817,0.00182348059374869,0.00117722675113937,0.00105581421715468
C14271,0.00159366840707133,0.00236207490903817,0.00182348059374869,0.00117722675113937,0.00105581421715468
C14262,0,0.000821753032523232,1.19148705652549e-05,0,0
C14260,0.00411485304146657,0.00515515007398203,0.00483973358062981,0.00375430510353612,0.0034993159152741
C14258,0.000360115702766842,0.00612391776868253,0.000300674203109455,0.000330352359885361,0.000259367838318282
C14255,0.000498208708449705,0.00250253070306672,0.000482271178330593,0.000270302293070866,0.000380282147344827
C14253,0.00411485304146657,0.00515515007398203,0.00483973358062981,0.00375430510353612,0.0034993159152741
C14249,0.00519686349658565,0.0176251107211271,0.000873045067719336,0.000911882013072892,0.00137052150261625
C14243,0,0.000665121432629627,6.48925255997434e-06,0,0
C14242,0.0174842449528445,0.0512519169392922,0.00307442526977183,0.00306734034529523,0.00409060045706146
C14241,0.00027943627259041,0.000124256041565094,0.000179528585196076,0.000161265643064264,0.00024475969300685
C14240,0.0823562382934891,0.106241030446936,0.097654735466338,0.0773195147125663,0.071922923394179
C14236,0.000275565429575654,0.00232696357525113,0.000755562840361437,0.000489297384741564,0.00195652603041054
C14235,0.00620576092659287,0.00855705352932934,0.00470026457899108,0.0028575700756768,0.00333853376662638
C14232,0.000624534626768919,0.000463052314416817,0.000447207765067405,0.000501006642401933,0.000646433193527166
C14231,0.000624534626768919,0.000463052314416817,0.000447207765067405,0.000501006642401933,0.000646433193527166
C14227,0.0654766187320159,0.0765226231177801,0.0778173743440735,0.0562047317491954,0.0418467620507653
C14221,0.00027943627259041,0.000124256041565094,0.000179528585196076,0.000161265643064264,0.00024475969300685
C14218,0.00159366840707133,0.00236207490903817,0.00182348059374869,0.00117722675113937,0.00105581421715468
C14214,0.00235082991105468,0.00214087695103679,0.00176402948770919,0.00153961355636842,0.00149987169803456
