gID	S1	S2	S3	S4	S5
K03778	1.562828	1.426086	5.041900	2.609267	3.458849
K17656	0.000000	0.029710	0.070846	0.079876	0.044630
K17654	0.022487	0.029710	0.023615	0.026625	0.000000
K17655	0.078704	0.044565	0.141693	0.266252	0.200836
K09442	0.022487	0.089130	0.059039	0.000000	0.000000
K17659	0.247354	0.787318	2.940124	0.665629	1.651321
K13979	0.944443	0.861593	0.980041	0.665629	0.892606
K09990	0.146164	0.163406	0.342424	0.239627	0.290097
K12596	0.000000	0.000000	0.011808	0.026625	0.000000
K12592	0.798279	1.203260	0.814733	0.665629	0.535564
K12590	0.562169	0.460507	0.637617	0.346127	0.669455
K12591	1.484125	1.723187	2.609508	1.464385	1.584376
K12598	4.778432	3.327533	6.021941	3.221646	4.172934
K12599	0.112434	0.074275	0.094462	0.186376	0.133891
K04908	0.168651	0.193116	0.259770	0.266252	0.312412
K04909	0.314814	0.371376	0.732079	0.479253	0.981867
K04902	0.044973	0.029710	0.011808	0.000000	0.022315
K04900	0.089947	0.089130	0.377847	4.020402	0.156206
K04901	0.033730	0.014855	0.059039	0.000000	0.000000
K04906	0.044973	0.044565	0.247962	0.000000	0.111576
K04907	0.326058	0.267391	0.838349	0.346127	0.602509
K04904	0.292328	0.282246	1.428735	0.346127	0.669455
K04905	0.550925	0.594202	0.814733	0.798755	0.714085
K11710	0.044973	0.103985	0.047231	0.000000	0.022315
K11713	0.742062	0.653623	0.602194	0.479253	0.490933
K11714	0.584655	0.341666	0.472309	0.319502	0.357042
K11717	1.472881	1.663767	2.940124	1.917013	2.454667
K11718	8.207660	10.591657	11.311803	9.558438	11.559249
K10990	0.314814	0.178261	0.307001	0.159751	0.178521
K06855	0.011243	0.029710	0.070846	0.079876	0.022315
K10994	0.011243	0.014855	0.011808	0.053250	0.000000
K10448	0.944443	2.094563	9.044719	2.103389	6.114352
K10446	0.303571	0.163406	0.271578	0.213001	0.156206
K10444	0.067460	0.059420	0.035423	0.026625	0.022315
K10445	0.000000	0.029710	0.035423	0.026625	0.022315
K10442	0.528438	0.742753	2.621316	1.224758	2.231515
K10443	0.089947	0.000000	0.047231	0.053250	0.044630
K10441	0.056217	0.014855	0.059039	0.213001	0.000000
K12620	0.820766	0.371376	0.495925	0.505878	0.423988
K12621	2.046293	3.431519	4.097282	1.996888	3.882837
K12622	1.765209	3.817750	3.093625	1.544260	2.543927
K12623	2.709652	4.931880	4.026435	1.730636	2.945600
K12624	2.428568	4.397097	4.191743	1.783887	2.945600
K12625	3.069440	3.654344	7.155483	1.677386	4.753128
K12626	1.675262	1.960868	2.904701	1.278008	2.722449
K12627	2.451055	3.342388	2.739393	0.639004	1.718267
K07101	0.404761	0.430797	0.543155	0.133126	0.669455
K07107	0.067460	0.074275	0.094462	0.000000	0.066945
K07456	1.551585	1.886592	6.387981	2.715768	5.020909
K16299	0.236111	0.207971	0.495925	0.346127	0.714085
K16298	0.865739	1.440941	1.594043	1.783887	2.209200
K16295	0.067460	0.029710	0.059039	0.159751	0.111576
K11826	2.777112	2.718476	4.852976	3.221646	3.280327
K16297	0.269841	0.178261	0.295193	0.505878	0.312412
K11824	2.585975	2.911592	4.888399	3.061895	3.570424
K11823	0.202381	0.742753	3.872935	0.692255	2.655503
K16290	8.241390	14.335132	10.438031	10.650070	16.825625
K16292	2.968250	10.725352	3.199894	8.573307	7.185479
K10668	0.011243	0.000000	0.011808	0.000000	0.022315
K10669	6.318774	8.259413	13.815041	7.588175	14.058546
K10662	0.022487	0.044565	0.011808	0.000000	0.044630
K10660	0.438491	0.430797	0.649425	0.639004	0.379358
K10661	0.966930	0.965579	2.066352	1.198133	0.981867
K10666	0.753306	0.579347	1.747544	0.639004	1.941418
K10667	1.146824	1.693477	3.093625	1.597511	2.677818
K10665	0.011243	0.074275	0.059039	0.026625	0.089261
K15013	24.960282	26.352874	41.551394	18.557748	33.316523
K15010	0.000000	0.000000	0.000000	0.000000	0.000000
K01858	3.710312	4.070286	3.896550	5.245160	5.110170
K15014	1.124337	0.653623	1.251619	0.852006	0.714085
K15015	4.553565	3.981156	10.119223	5.271785	7.341685
K01853	2.237431	2.020288	3.058201	1.677386	2.298461
K01852	0.157407	0.163406	0.259770	0.133126	0.089261
K01850	1.956346	1.975723	2.869278	2.715768	2.298461
K01855	0.640872	0.534782	1.109926	0.612379	0.825661
K01854	4.193777	5.154705	12.398114	5.937414	9.707092
K08479	0.168651	0.311956	0.271578	0.159751	0.357042
K00451	1.720236	2.480795	3.554126	1.278008	2.365406
K00452	1.180554	1.426086	3.471472	1.704011	2.164570
K00453	0.022487	0.089130	0.094462	0.026625	0.022315
K00454	0.787036	0.401087	0.342424	0.266252	0.312412
K00456	1.326718	1.218115	2.054545	1.118257	1.450485
K00457	1.394178	2.153984	1.558620	4.819157	2.767079
K00458	0.000000	0.014855	0.059039	0.026625	0.089261
K00459	0.663359	0.846738	1.416927	0.559129	1.138073
K00104	0.011243	0.089130	0.070846	0.053250	0.044630
K00102	0.618385	0.460507	1.995506	1.038382	1.941418
K00103	1.720236	0.519927	0.732079	0.505878	0.513249
K00100	1.191797	1.054709	1.912852	0.931881	1.249649
K00101	6.835969	8.378253	15.857778	8.360305	14.393274
K01509	1.990077	2.971012	5.018284	2.848894	4.507661
K04759	0.000000	0.000000	0.023615	0.000000	0.000000
K01507	132.581820	129.996620	161.529715	159.644556	155.514301
K01506	0.011243	0.029710	0.047231	0.000000	0.044630
K01501	0.269841	0.163406	0.307001	0.133126	0.245467
K04751	0.011243	0.000000	0.000000	0.026625	0.022315
K04750	0.089947	0.029710	0.047231	0.000000	0.044630
K14634	0.011243	0.014855	0.011808	0.000000	0.022315
K14636	0.056217	0.118840	0.059039	0.053250	0.066945
K14638	0.011243	0.059420	0.094462	0.053250	0.044630
K15900	0.044973	0.014855	0.035423	0.053250	0.000000
K16904	0.494708	0.356521	0.684848	0.346127	0.490933
K16907	0.011243	0.014855	0.106270	0.079876	0.066945
K03903	0.044973	0.000000	0.011808	0.000000	0.000000
K03902	0.078704	0.014855	0.094462	0.053250	0.111576
K03900	0.044973	0.029710	0.059039	0.000000	0.066945
K03909	0.000000	0.000000	0.023615	0.026625	0.022315
K18192	0.044973	0.044565	0.082654	0.026625	0.044630
K13368	0.247354	0.029710	0.082654	0.053250	0.066945
K13369	0.022487	0.029710	0.059039	0.026625	0.044630
K13366	1.056877	0.995289	2.326122	3.780775	2.900970
K13367	0.044973	0.014855	0.047231	0.106501	0.044630
K02364	2.597218	1.322100	2.255276	0.825380	1.361224
K02365	1.248014	1.188405	2.314315	1.544260	2.231515
K02366	0.876983	0.668478	0.909195	0.772130	0.959552
K02367	0.708332	0.356521	0.472309	0.266252	0.669455
K12369	0.000000	0.044565	0.023615	0.026625	0.044630
K12368	0.044973	0.014855	0.082654	0.213001	0.022315
K02369	0.191137	0.163406	0.271578	0.106501	0.312412
K16848	0.033730	0.029710	0.035423	0.000000	0.022315
K13509	0.101190	0.282246	1.204388	0.159751	0.847976
K13501	0.022487	0.059420	0.059039	0.000000	0.066945
K13506	0.258598	0.876448	2.302507	0.798755	1.651321
K13507	1.686506	1.738042	5.703132	2.289765	4.150618
K13505	0.000000	0.000000	0.011808	0.026625	0.000000
K17461	0.033730	0.000000	0.047231	0.026625	0.044630
K16593	0.404761	0.713043	0.484117	0.426003	0.446303
K16599	0.517195	0.980434	0.684848	0.852006	0.981867
K03015	4.767189	6.357965	17.676168	8.599932	11.960922
K03014	2.237431	2.688766	2.137199	1.065007	1.584376
K03017	1.461638	1.396376	1.594043	0.585754	1.584376
K03016	1.270501	0.638768	1.912852	0.718880	1.807527
K03011	1.405421	1.663767	2.656739	1.597511	1.606691
K03010	6.026446	5.644922	9.906684	3.754150	7.609467
K03013	1.416665	1.351810	3.235317	1.544260	1.919103
K08909	1.113094	0.445652	0.649425	1.251383	0.267782
K08906	27.231442	31.492725	56.157553	107.459211	47.888318
K08907	5.565468	2.703621	7.816716	35.438109	6.002776
K08905	0.337301	0.148551	0.318809	0.532504	0.044630
K08902	2.777112	2.525360	6.210865	2.662518	3.815891
K08903	0.044973	0.000000	0.047231	0.106501	0.066945
K08900	4.238751	4.753619	9.776799	3.567774	6.739176
K06223	0.044973	0.014855	0.141693	0.346127	0.066945
K06628	2.630949	3.802895	10.012953	3.834025	7.297055
K06196	0.000000	0.000000	0.000000	0.000000	0.000000
K06195	0.134920	0.133696	0.354232	0.266252	0.290097
K06626	0.044973	0.044565	0.035423	0.213001	0.022315
K06620	0.022487	0.029710	0.094462	0.079876	0.111576
K06623	0.033730	0.000000	0.035423	0.000000	0.066945
K11104	0.134920	0.207971	1.015465	0.346127	0.580194
K11101	0.157407	0.297101	0.661233	0.239627	0.401673
K11450	0.888226	1.024999	2.845662	1.624136	2.276146
K11103	0.854496	1.916303	8.489756	2.316390	6.783806
K07863	0.022487	0.014855	0.047231	0.026625	0.000000
K11108	1.900130	1.470651	3.329779	1.411134	2.945600
K16339	0.247354	0.089130	0.554963	0.452628	1.383539
K00667	1.101850	0.950724	1.605851	0.958506	1.517430
K00666	4.137560	4.471373	6.624135	3.754150	4.172934
K00665	2.451055	2.198549	4.014627	3.115146	3.726631
K00662	0.056217	0.014855	0.000000	0.053250	0.000000
K00661	0.000000	0.014855	0.011808	0.000000	0.022315
K00660	0.134920	0.089130	0.059039	0.106501	0.044630
K00668	0.269841	0.193116	0.295193	0.106501	0.312412
K06997	1.742722	1.292390	3.176279	1.251383	2.543927
K06995	0.427248	0.475362	1.523197	1.517635	1.785212
K06994	4.542322	4.605068	13.283694	5.857539	9.394679
K06990	0.966930	1.084419	1.948275	0.905256	1.182703
K10859	0.213624	0.133696	0.247962	0.186376	0.267782
K10858	2.259917	2.139128	4.498744	2.982020	3.548109
K06999	1.900130	3.282968	5.833017	3.061895	5.288691
K06998	0.000000	0.000000	0.059039	0.000000	0.022315
K06443	1.068120	1.247825	2.208045	1.597511	2.767079
K06442	0.089947	0.074275	0.035423	0.026625	0.022315
K06445	0.022487	0.014855	0.023615	0.000000	0.066945
K06446	0.134920	0.341666	0.307001	0.026625	0.267782
K02653	0.022487	0.000000	0.047231	0.079876	0.089261
K17883	0.584655	0.193116	0.413270	0.133126	0.223152
K17960	0.000000	0.000000	0.000000	0.026625	0.044630
K17885	0.000000	0.000000	0.000000	0.000000	0.022315
K00591	0.236111	0.178261	0.425078	0.239627	0.312412
K00592	0.191137	0.490217	1.405120	0.399378	1.048812
K00597	0.607142	0.089130	0.047231	0.186376	0.133891
K07393	2.136240	5.644922	22.529144	6.283542	17.004147
K00599	6.397478	8.615934	10.815879	6.336792	7.877249
K00598	0.011243	0.059420	0.118077	0.026625	0.089261
K02657	0.000000	0.014855	0.023615	0.000000	0.111576
K07390	2.271161	1.931158	3.813896	1.757262	2.387721
K10275	0.044973	0.029710	0.070846	0.000000	0.000000
K10276	0.000000	0.029710	0.000000	0.000000	0.000000
K10271	0.022487	0.000000	0.035423	0.053250	0.022315
K10273	0.371031	0.386232	0.531348	0.532504	0.379358
K04103	0.326058	0.252536	0.271578	0.399378	0.290097
K07716	0.348544	0.386232	0.318809	0.319502	0.066945
K07714	0.044973	0.044565	0.070846	0.053250	0.066945
K07712	0.000000	0.044565	0.070846	0.000000	0.044630
