RInumber,cNumber,ChargedMass,RT,ionMode,S1,S2,S3,S4,S5
RI2317,C12262,348.180549367091,1358.3445,positive,0.000780965427314803,0.00122440162146512,0.000813845347371615,0.000695984160753376,0.000755042488287814
RI2318,C06094,349.200950458091,1209.4489,positive,0.00480804589632771,0.0274337412572103,0.00166913758172313,0.00243272375460843,0.00491895099265044
RI2319,C06094,349.200950458091,1039.18380000002,positive,0.000662890426536212,0.00694577039238733,0.00520803430385831,0.00952775575682209,0.0200094276004516
RI2320,C09112,349.200950458091,1209.4489,positive,0.00480804589632771,0.0274337412572103,0.00166913758172313,0.00243272375460843,0.00491895099265044
RI2321,C09112,349.200950458091,1039.18380000002,positive,0.000662890426536212,0.00694577039238733,0.00520803430385831,0.00952775575682209,0.0200094276004516
RI2322,C11858,349.200950458091,1209.4489,positive,0.00480804589632771,0.0274337412572103,0.00166913758172313,0.00243272375460843,0.00491895099265044
RI2323,C11858,349.200950458091,1039.18380000002,positive,0.000662890426536212,0.00694577039238733,0.00520803430385831,0.00952775575682209,0.0200094276004516
RI2324,C11860,349.200950458091,1209.4489,positive,0.00480804589632771,0.0274337412572103,0.00166913758172313,0.00243272375460843,0.00491895099265044
RI2325,C11860,349.200950458091,1039.18380000002,positive,0.000662890426536212,0.00694577039238733,0.00520803430385831,0.00952775575682209,0.0200094276004516
RI2326,C06094,349.200950458091,1209.4489,positive,0.00480804589632771,0.0274337412572103,0.00166913758172313,0.00243272375460843,0.00491895099265044
RI2327,C06094,349.200950458091,1039.18380000002,positive,0.000662890426536212,0.00694577039238733,0.00520803430385831,0.00952775575682209,0.0200094276004516
RI2328,C09112,349.200950458091,1209.4489,positive,0.00480804589632771,0.0274337412572103,0.00166913758172313,0.00243272375460843,0.00491895099265044
RI2329,C09112,349.200950458091,1039.18380000002,positive,0.000662890426536212,0.00694577039238733,0.00520803430385831,0.00952775575682209,0.0200094276004516
RI2330,C11858,349.200950458091,1209.4489,positive,0.00480804589632771,0.0274337412572103,0.00166913758172313,0.00243272375460843,0.00491895099265044
RI2331,C11858,349.200950458091,1039.18380000002,positive,0.000662890426536212,0.00694577039238733,0.00520803430385831,0.00952775575682209,0.0200094276004516
RI2332,C11860,349.200950458091,1209.4489,positive,0.00480804589632771,0.0274337412572103,0.00166913758172313,0.00243272375460843,0.00491895099265044
RI2333,C11860,349.200950458091,1039.18380000002,positive,0.000662890426536212,0.00694577039238733,0.00520803430385831,0.00952775575682209,0.0200094276004516
RI2334,C05475,349.237335964091,1137.23789999998,positive,0.000422694253812299,0.0101080426108082,0.00085588808205225,0.00155707930822869,0.00139438034344322
RI2335,C05478,349.237335964091,1137.23789999998,positive,0.000422694253812299,0.0101080426108082,0.00085588808205225,0.00155707930822869,0.00139438034344322
RI2336,C05487,349.237335964091,1137.23789999998,positive,0.000422694253812299,0.0101080426108082,0.00085588808205225,0.00155707930822869,0.00139438034344322
RI2337,C14598,349.237335964091,1137.23789999998,positive,0.000422694253812299,0.0101080426108082,0.00085588808205225,0.00155707930822869,0.00139438034344322
RI2338,C15685,349.237335964091,1137.23789999998,positive,0.000422694253812299,0.0101080426108082,0.00085588808205225,0.00155707930822869,0.00139438034344322
RI2339,C01302,350.063544567091,1395.43320000002,positive,6.14948599700239e-05,3.57275522339785e-05,0,1.42807685229e-05,4.26096607101929e-05
RI2340,C04302,350.063544567091,1395.43320000002,positive,6.14948599700239e-05,3.57275522339785e-05,0,1.42807685229e-05,4.26096607101929e-05
RI2341,C10528,350.063544567091,1395.43320000002,positive,6.14948599700239e-05,3.57275522339785e-05,0,1.42807685229e-05,4.26096607101929e-05
RI2342,C05476,351.252986028091,1479.82529999998,positive,0.000358263933888643,0.00217773133216226,0.00456374892773331,0.000456456666250857,0.00022720337177524
RI2343,C05483,351.252986028091,1479.82529999998,positive,0.000358263933888643,0.00217773133216226,0.00456374892773331,0.000456456666250857,0.00022720337177524
RI2344,C14594,351.252986028091,1479.82529999998,positive,0.000358263933888643,0.00217773133216226,0.00456374892773331,0.000456456666250857,0.00022720337177524
